stationname,latitude,longitude
Old Slip & Front St,40.7038,-74.0084
Barrow St & Hudson St,40.7317,-74.0067
E 59 St & Madison Ave,40.7635,-73.9711
W 52 St & 5 Ave,40.7599,-73.9765
Pacific St & Nevins St,40.6854,-73.983
7 St & 5 Ave,40.6705,-73.9854
Broadway & E 22 St,40.7403,-73.9896
E 61 St & Park Ave,40.7642,-73.9691
Heights Elevator,40.7485,-74.0403
W 26 St & 10 Ave,40.7497,-74.003
11 Ave & W 41 St,40.7603,-73.9988
Washington St & Gansevoort St,40.7393,-74.0081
Liberty St & Broadway,40.7091,-74.0104
Lorimer St & Broadway,40.7041,-73.9482
Broadway & E 22 St - Valet Scan,40.7403,-73.9896
SSP Tech Workshop,40.6467,-74.0163
Broadway & W 24 St,40.7424,-73.9892
Metropolitan Ave & Meeker Ave,40.7141,-73.9523
E 56 St & Madison Ave,40.7616,-73.9729
1 Ave & E 15 St,40.7322,-73.9817
Degraw St & Smith St,40.6829,-73.9932
Central Park West & W 100 St,40.7934,-73.9636
Fulton St & Adams St,40.6924,-73.9895
Kent Ave & S 11 St,40.7083,-73.9683
Columbia St & Rivington St,40.7174,-73.9802
Hilltop,40.7312,-74.0576
W 56 St & 6 Ave,40.7634,-73.9772
Centre St & Worth St,40.7149,-74.0023
E 9 St & Avenue C,40.7252,-73.9777
Cadman Plaza E & Tillary St,40.696,-73.9901
Marcy Ave & MacDonough St,40.6806,-73.9462
President St & Henry St,40.6828,-73.9999
Park Ave & Marcus Garvey Blvd,40.6986,-73.9413
Court St & State St,40.6902,-73.992
Meserole Ave & Manhattan Ave,40.7271,-73.953
Fulton St & Rockwell Pl,40.6882,-73.9794
W 37 St & 10 Ave,40.7566,-73.9979
2 Ave & E 31 St,40.7429,-73.9771
Leonard St & Grand St,40.711,-73.9471
Wythe Ave & Metropolitan Ave,40.7169,-73.9632
W 15 St & 7 Ave,40.7394,-73.9993
Riverside Dr & W 78 St,40.7841,-73.9836
E 55 St & Lexington Ave,40.7597,-73.9703
Mercer St & Bleecker St,40.7268,-73.997
78 St & 2 Ave,40.7728,-73.9558
India St & East River,40.7317,-73.9616
Carroll St & Columbia St,40.683,-74.0035
5 Ave & E 73 St,40.7728,-73.9669
Kane St & Clinton St,40.6862,-73.9965
Paulus Hook,40.7141,-74.0336
E 106 St & Lexington Ave,40.792,-73.946
E 109 St & 3 Ave,40.7933,-73.9432
Smith St & 9 St,40.6747,-73.9979
Mercer St & Bleecker St S,40.7268,-73.997
8 Ave & W 16 St,40.741,-74.0017
44 Dr & Jackson Ave,40.7472,-73.9433
Cherry St,40.7122,-73.9795
Newark Ave,40.7215,-74.0463
Pulaski St & Marcus Garvey Blvd,40.6934,-73.9399
Cadman Plaza W & Pierrepont St,40.6948,-73.9905
Forsyth St & Canal St,40.7158,-73.9942
Banker St & Meserole Ave,40.7261,-73.9562
W 21 St & 6 Ave,40.7417,-73.9942
South St & Whitehall St,40.7012,-74.0123
Lispenard St & Broadway,40.7194,-74.0025
E 30 St & Park Ave S,40.7444,-73.983
Pioneer St & Van Brunt St,40.679,-74.0112
N 8 St & Driggs Ave,40.7177,-73.956
Hanson Pl & Ashland Pl,40.6851,-73.9779
Riverview Park,40.7443,-74.044
45 Rd & 11 St,40.7471,-73.9498
Emerson Pl & Myrtle Ave,40.6936,-73.9622
9 Ave & W 22 St,40.7455,-74.002
E 19 St & 3 Ave,40.7362,-73.9847
5 Ave & E 29 St,40.7452,-73.9868
West End Ave & W 94 St,40.7942,-73.9741
Avenue D & E 8 St,40.7237,-73.9757
W 17 St & 8 Ave,40.7418,-74.0015
Driggs Ave & N Henry St,40.7233,-73.9431
Newport Pkwy,40.7287,-74.0321
Rivington St & Ridge St,40.7185,-73.9833
Riverside Blvd & W 67 St,40.7775,-73.9889
Riverside Dr & W 91 St,40.7934,-73.9769
Schermerhorn St & Court St,40.691,-73.9918
W 84 St & Broadway,40.7868,-73.9771
E 10 St & Avenue A,40.7274,-73.9814
W 14 St & The High Line,40.742,-74.008
Warren St & Court St,40.6864,-73.9938
Clinton Ave & Myrtle Ave,40.6933,-73.9689
South St & Gouverneur Ln,40.7036,-74.0067
NYCBS Depot - FAR,40.7515,-73.9968
E 68 St & 3 Ave,40.7671,-73.9622
Atlantic Ave & Fort Greene Pl,40.6838,-73.9763
E 4 St & 2 Ave,40.7263,-73.9898
Madison St & Clinton St,40.7127,-73.9878
W 70 St & Amsterdam Ave,40.7775,-73.9829
Washington Square E,40.7305,-73.9957
Willoughby Ave & Walworth St,40.6933,-73.9538
E 11 St & 2 Ave,40.7305,-73.9867
S Portland Ave & Hanson Pl,40.6854,-73.9743
Kosciuszko St & Nostrand Ave,40.6907,-73.9513
W 76 St & Columbus Ave,40.7802,-73.9773
21 St & 41 Ave,40.7538,-73.9427
W 33 St & 7 Ave,40.7502,-73.9909
1 Ave & E 68 St,40.765,-73.9582
W 54 St & 9 Ave,40.7658,-73.9869
Clinton St & Union St,40.6831,-73.9979
Smith St & 3 St,40.6787,-73.996
W 53 St & 10 Ave,40.7667,-73.9906
Carmine St & 6 Ave,40.7304,-74.0021
Myrtle Ave & Marcy Ave,40.6954,-73.9495
Newport PATH,40.7272,-74.0338
S 3 St & Bedford Ave,40.7126,-73.9626
Pitt St & Stanton St,40.7193,-73.9818
Union Ave & Wallabout St,40.7003,-73.9503
Suffolk St & Stanton St,40.7207,-73.9852
Atlantic Ave & Furman St,40.6917,-74
E 110 St & Madison Ave,40.7962,-73.9478
5 Ave & E 78 St,40.7768,-73.9639
Putnam Ave & Throop Ave,40.6852,-73.9411
Amsterdam Ave & W 82 St,40.7852,-73.9767
Johnson St & Gold St,40.6947,-73.9836
E 89 St & 3 Ave,40.7806,-73.9522
1 Ave & E 62 St,40.7612,-73.9609
W 100 St & Manhattan Ave,40.795,-73.9645
Columbus Ave & W 95 St,40.792,-73.9681
Park Ave & St Edwards St,40.6961,-73.978
Marcy Ave & Lafayette Ave,40.6901,-73.9479
W 41 St & 8 Ave,40.7564,-73.99
Fulton St & William St,40.7096,-74.0065
Lewis Ave & Madison St,40.6863,-73.9358
2 Ave  & E 104 St,40.7892,-73.9437
FDR Drive & E 35 St,40.7442,-73.9712
E 84 St & 1 Ave,40.7757,-73.9507
Nostrand Ave & Myrtle Ave,40.6953,-73.9524
E 60 St & York Ave,40.7591,-73.9592
3 Ave & E 72 St,40.7699,-73.9606
Kent Ave & N 7 St,40.7206,-73.9615
Halsey St & Tompkins Ave,40.6824,-73.9441
Columbus Ave & W 103 St,40.7969,-73.9643
E 81 St & Park Ave,40.7768,-73.959
3 St & Hoyt St,40.6777,-73.9936
E 7 St & Avenue A,40.7262,-73.9838
Lexington Ave & E 24 St,40.7403,-73.9841
Amsterdam Ave & W 73 St,40.7797,-73.9809
Mott St & Prince St,40.7232,-73.9948
Columbus Ave & W 72 St,40.7771,-73.979
6 Ave & Canal St,40.7224,-74.0057
Howard St & Centre St,40.7191,-73.9997
E 51 St & Lexington Ave,40.7571,-73.9721
Dixon Mills,40.7216,-74.05
Greene Ave & Nostrand Ave,40.6883,-73.9509
Pike St & E Broadway,40.7141,-73.9929
W 27 St & 10 Ave,40.7502,-74.0022
7 Ave & Park Pl,40.6776,-73.9732
Peck Slip & Front St,40.7079,-74.0017
Allen St & Rivington St,40.7202,-73.99
Kosciuszko St & Tompkins Ave,40.6913,-73.9452
Lexington Ave & E 29 St,40.7431,-73.9822
Broadway & Whipple St,40.7017,-73.9437
Putnam Ave & Nostrand Ave,40.684,-73.9498
Soissons Landing,40.6923,-74.0149
Pike St & Monroe St,40.7117,-73.9919
Prospect Park West & 8 St,40.6651,-73.9764
E 23 St & 1 Ave,40.7365,-73.9781
E 53 St & Lexington Ave,40.7583,-73.9707
Bike The Branches - Red Hook Branch,40.6753,-74.01
E 14 St & Avenue B,40.7294,-73.9777
Allen St & Stanton St,40.7221,-73.9891
Tompkins Ave & Hopkins St,40.6996,-73.9471
8 Ave & W 31 St N,40.751,-73.9944
University Pl & E 8 St,40.7314,-73.9949
West St & Chambers St,40.7175,-74.0132
Clinton St & Grand St,40.7156,-73.987
St Marks Pl & 2 Ave,40.7284,-73.9871
Frost St & Meeker St,40.7176,-73.9488
Lafayette Ave & Classon Ave,40.689,-73.9602
Scholes St & Manhattan Ave,40.7087,-73.9449
Wyckoff St & 3 Ave,40.6828,-73.9826
W 43 St & 10 Ave,40.7601,-73.9946
Lafayette Ave & St James Pl,40.6885,-73.9648
St James Pl & Oliver St,40.7131,-73.9985
DeKalb Ave & Vanderbilt Ave,40.6894,-73.9689
Graham Ave & Grand St,40.7119,-73.944
E 39 St & 2 Ave,40.7478,-73.9734
14 St & 5 Ave,40.6663,-73.989
North St,40.7526,-74.0447
Vesey Pl & River Terrace,40.7153,-74.0166
Milton St & Franklin St,40.7291,-73.9578
Broadway & Berry St,40.7104,-73.9653
Centre St & Chambers St,40.7127,-74.0046
Broadway & W 29 St,40.7462,-73.9886
Henry St & Grand St,40.7142,-73.9813
LaGuardia Pl & W 3 St,40.7292,-73.9981
Broadway & W 58 St,40.767,-73.9817
Grand Army Plaza & Plaza St West,40.673,-73.9709
E 66 St & Madison Ave,40.768,-73.9685
3 Ave & E 71 St,40.7687,-73.9612
Broadway & W 32 St,40.7485,-73.9881
Congress St & Clinton St,40.6882,-73.9952
Graham Ave & Herbert St,40.7193,-73.945
Prospect Pl & 6 Ave,40.6793,-73.9752
Avenue D & E 12 St,40.7258,-73.9742
W 63 St & Broadway,40.7716,-73.9826
Monroe St & Bedford Ave,40.6851,-73.9538
Kingston Ave & Herkimer St,40.6789,-73.9414
W 47 St & 10 Ave,40.7627,-73.993
Nassau St & Navy St,40.6984,-73.9807
W 67 St & Broadway,40.7749,-73.9827
Queens Plaza North & Crescent St,40.7511,-73.9407
E 24 St & Park Ave S,40.741,-73.986
W 82 St & Central Park West,40.7828,-73.9714
Cooper Square & E 7 St,40.7292,-73.9909
E 20 St & Park Ave,40.7383,-73.9875
Harrison St & Hudson St,40.7187,-74.009
Amsterdam Ave & W 66 St,40.7747,-73.9847
E 71 St & 2 Ave,40.7682,-73.9591
Van Vorst Park,40.7185,-74.0477
Butler St & Court St,40.685,-73.9944
E 55 St & 3 Ave,40.759,-73.9687
Grand Army Plaza & Central Park S,40.7644,-73.9737
E 15 St & 3 Ave,40.7342,-73.9869
E 52 St & 2 Ave,40.756,-73.9674
1 Ave & E 94 St,40.7817,-73.9459
W 51 St & 6 Ave,40.7607,-73.9804
