stationname,latitude,longitude
E 20 St & FDR Drive,40.7331,-73.9757
E 10 St & 5 Ave,40.7333,-73.9951
1 Ave & E 18 St,40.7338,-73.9805
W 4 St & 7 Ave S,40.734,-74.0029
E 15 St & 3 Ave,40.7342,-73.9869
Broadway & E 14 St,40.7345,-73.9907
University Pl & E 14 St,40.7349,-73.992
Greenwich Ave & Charles St,40.7352,-74.0003
W 11 St & 6 Ave,40.7353,-73.998
E 16 St & Irving Pl,40.7354,-73.988
W 13 St & 5 Ave,40.7354,-73.9945
Perry St & Bleecker St,40.7354,-74.0048
McGuinness Blvd & Eagle St,40.7356,-73.9528
Franklin St & Dupont St,40.7356,-73.9587
E 20 St & 2 Ave,40.7359,-73.9821
Bank St & Washington St,40.7362,-74.0086
E 19 St & 3 Ave,40.7362,-73.9847
Bank St & Hudson St,40.7365,-74.0062
W 13 St & 6 Ave,40.7365,-73.997
E 23 St & 1 Ave,40.7365,-73.9781
E 17 St & Broadway,40.737,-73.9901
E 16 St & 5 Ave,40.7373,-73.9924
Dey St,40.7377,-74.0669
W 13 St & 7 Ave,40.7378,-73.9999
E 25 St & 1 Ave,40.7382,-73.9774
E 20 St & Park Ave,40.7383,-73.9875
Greenwich Ave & 8 Ave,40.739,-74.0026
E 25 St & 2 Ave,40.7391,-73.9797
Washington St & Gansevoort St,40.7393,-74.0081
E 27 St & 1 Ave,40.7394,-73.9768
W 15 St & 7 Ave,40.7394,-73.9993
W 18 St & 6 Ave,40.7397,-73.9946
W 13 St & Hudson St,40.74,-74.0051
Broadway & E 22 St,40.7403,-73.9896
Lexington Ave & E 24 St,40.7403,-73.9841
8 Ave & W 16 St,40.741,-74.0017
E 24 St & Park Ave S,40.741,-73.986
1 Ave & E 30 St,40.7414,-73.9754
Center Blvd & Borden Ave,40.7416,-73.9604
W 21 St & 6 Ave,40.7417,-73.9942
W 17 St & 8 Ave,40.7418,-74.0015
Vernon Blvd & 50 Ave,40.7423,-73.9541
W 20 St & 7 Ave,40.7424,-73.9973
